id,underlyingAsset,name,symbol,decimals,isActive,isFrozen,usageAsCollateralEnabled,aTokenAddress,stableDebtTokenAddress,variableDebtTokenAddress,borrowingEnabled,stableBorrowRateEnabled,reserveFactor,interestRateStrategyAddress,baseLTVasCollateral,stableRateSlope1,stableRateSlope2,averageStableRate,stableDebtLastUpdateTimestamp,variableRateSlope1,variableRateSlope2,liquidityIndex,reserveLiquidationThreshold,reserveLiquidationBonus,variableBorrowIndex,variableBorrowRate,availableLiquidity,stableBorrowRate,liquidityRate,totalPrincipalStableDebt,totalScaledVariableDebt,lastUpdateTimestamp,priceInMarketReferenceCurrency,__typename
0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdac17f958d2ee523a2206206994597c13d831ec7,,USDT,6,true,false,false,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,0xe91D55AB2240594855aBd11b3faAE801Fd4c4687,0x531842cEbbdD378f8ee36D171d6cC9C4fcf475Ec,true,true,1000,0x515E87cb3fec986050F202a2bbfa362A2188bc3F,0,20000000000000000000000000,600000000000000000000000000,116221905313858726718079936,1636918977,40000000000000000000000000,600000000000000000000000000,1071306247283232756900472713,0,0,1109130911351272912367693749,38557758634217725280285810,148784004379806,119278879317108862640142905,31170061291384705669254224,17103303686476,863224520385949,1636951994,211881913971705,ReserveData
0x4fabb145d64652a948d72533023f6e7a623c7c530xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4fabb145d64652a948d72533023f6e7a623c7c53,,BUSD,18,true,false,false,0xA361718326c15715591c299427c62086F69923D9,0x4A7A63909A72D268b1D8a93a9395d098688e0e5C,0xbA429f7011c9fa04cDd46a2Da24dc0FF0aC6099c,true,false,1000,0x26D40544447F68a3De69005822195549934624B9,0,0,0,0,0,40000000000000000000000000,1000000000000000000000000000,1076322018863990467718692472,0,0,1103375688073216196624228318,152813441764606753613656415,1775900258693464704743035,0,113128771926921768712401648,0,7461381003858390363627700,1636948513,213900000000000,ReserveData
0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6b175474e89094c44da98b954eedeac495271d0f,,DAI,18,true,false,true,0x028171bCA77440897B824Ca71D1c56caC55b68A3,0x778A13D3eeb110A4f7bb6529F99c000119a08E92,0x6C3c78838c761c6Ac7bE9F59fe808ea2A6E4379d,true,true,1000,0xfffE32106A68aA3eD39CcCE673B646423EEaB62a,7500,20000000000000000000000000,750000000000000000000000000,116887678831724746639974245,1636942773,40000000000000000000000000,750000000000000000000000000,1058941949904963068153716309,8000,10500,1092849202727892788945702585,47741613481582022424091979,383719484558188088554658648,127741613481582022424091979,34863885039291439788128091,12498100709084929819553544,1411347424369834135180283460,1636954331,212163120484440,ReserveData
0x57ab1ec28d129707052df4df418d58a2d46d5f510xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x57ab1ec28d129707052df4df418d58a2d46d5f51,,sUSD,18,true,false,false,0x6C5024Cd4F8A59110119C56f8933403A539555EB,0x30B0f7324feDF89d8eff397275F8983397eFe4af,0xdC6a3Ab17299D9C2A412B0e0a4C1f55446AE0817,true,false,2000,0x3082D0a473385Ed2cbd1f16087ab8b7BF79f0355,0,0,0,0,0,40000000000000000000000000,1000000000000000000000000000,1066901842446125294385333070,0,0,1101529059489751993330233614,37663491809629753960289441,21259219858560601032711763,0,22696617844704760939703839,0,58922300475141626995610963,1636937456,212453140000000,ReserveData
0x0000000000085d4780b73119b644ae5ecd22b3760xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0000000000085d4780b73119b644ae5ecd22b376,,TUSD,18,true,false,true,0x101cc05f4A51C0319f570d5E146a8C625198e636,0x7f38d60D94652072b2C44a18c0e14A481EC3C0dd,0x01C0eb1f8c6F1C1bF74ae028697ce7AA2a8b0E92,true,true,1000,0x0DdEC679166C367ae45036c8b2c169C5FB2dceE1,8000,20000000000000000000000000,750000000000000000000000000,115414730721215485207346332,1635909120,40000000000000000000000000,750000000000000000000000000,1060380694464812123832442876,8250,10500,1162305347655847550490689796,37285630712676662919379918,39750004283938978442643309,118642815356338331459689959,26645403486617430341073154,3590958097964858456698001,97190059038221985566696806,1636951582,213136173400904,ReserveData
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,USDC,6,true,false,true,0xBcca60bB61934080951369a648Fb03DF4F96263C,0xE4922afAB0BbaDd8ab2a88E0C79d884Ad337fcA6,0x619beb58998eD2278e08620f97007e1116D5D25b,true,true,1000,0x8Cae0596bC1eD42dc3F04c4506cfe442b3E74e27,8250,20000000000000000000000000,600000000000000000000000000,114965941155153334083068354,1636954436,40000000000000000000000000,600000000000000000000000000,1061908984823470405554378081,8500,10400,1087208090356719936330759089,39736955464836163068739473,367699042833623,109868477732418081534369736,33552999652937710361428829,80895770698876,2780454990719984,1636954436,213887884616724,ReserveData
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,,GUSD,2,true,false,false,0xD37EE7e4f452C6638c96536e68090De8cBcdb583,0xf8aC64ec6Ff8E0028b37EB89772d21865321bCe0,0x279AF5b99540c1A3A7E3CDd326e19659401eF99e,true,false,1000,0x2893405d64a7Bc8Db02Fa617351a5399d59eCf8D,0,40000000000000000000000000,1000000000000000000000000000,0,0,40000000000000000000000000,1000000000000000000000000000,1062782509248770000442368807,0,0,1080203693671267680017619001,105782598776108258873719740,368713449,145782598776108258873719740,77416028884298844983236545,0,1485523483,1636921103,212535555476494,ReserveData
0x8e870d67f660d95d5be530380d0ec0bd388289e10xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8e870d67f660d95d5be530380d0ec0bd388289e1,,USDP,18,true,false,false,0x2e8F4bdbE3d47d7d7DE490437AeA9915D930F1A3,0x2387119bc85A74e0BBcbe190d80676CB16F10D4F,0xFDb93B3b10936cf81FA59A02A7523B6e2149b2B7,true,false,1000,0x404d396fc42e20d14585A1a10Cd64BDdC6C6574A,0,0,0,0,0,40000000000000000000000000,600000000000000000000000000,1007780821364845490172824829,0,0,1011178989273632763490427994,163327205037475629973002712,1281792410579756898117207,0,135316439235933447218236271,0,14688250289434697055804226,1636937172,214037470000000,ReserveData
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
